cambridge_id,cambridge_choice,hds_question,hds_choice,confidence,note
299,"I have never heard of this ""game"" and have no idea what it's called",59,"I have never heard of this ""game"" and have no idea what it's called",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
299,mumbly peg,59,mumbly peg,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
299,mumbledy-peg,59,mumbledy-peg,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
299,mumblety-peg,59,mumblety-peg,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
299,chicken,59,chicken,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
299,Russian roulette,59,Russian roulette,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
300,curb strip,60,curb strip,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
300,berm,60,berm,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
300,parking,60,parking,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
300,tree lawn,60,tree lawn,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
300,verge,60,verge,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
301,island,61,island,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
301,boulevard,61,boulevard,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
301,traffic island,61,traffic island,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
301,midway,61,midway,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
302,median,62,median,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
302,median strip,62,median strip,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
302,island,62,island,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
303,milkshake/shake,63,milkshake/shake,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
303,frappe,63,frappe,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
304,sub,64,sub,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
304,hoagie,64,hoagie,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
304,hero,64,hero,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
304,grinder,64,grinder,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
304,poor boy,64,poor boy,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
305,I use lightning bug and firefly interchangeably,65,I use lightning bug and firefly interchangeably,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
305,lightning bug,65,lightning bug,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
305,firefly,65,firefly,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
306,crawfish,66,crawfish,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
306,crayfish,66,crayfish,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
306,crawdad,66,crawdad,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
307,daddy long leg(s),67,daddy long leg(s),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
307,daddy big legs,67,daddy big legs,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
308,grandma,68,grandma,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
308,grandmother,68,grandmother,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
308,nana,68,nana,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
308,granny,68,granny,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
308,grammy/grammie/grammi,68,grammy/grammie/grammi,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
309,grandma,69,grandma,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
309,gramma,69,gramma,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
309,grandmother,69,grandmother,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
309,granny,69,granny,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
309,nana,69,nana,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
310,"I spell it ""grandpa"" but pronounce it as ""grampa""",70,"I spell it ""grandpa"" but pronounce it as ""grampa""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
310,grandpa,70,grandpa,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
310,grampa,70,grampa,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
310,"grandad, granddad",70,"grandad, granddad",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
310,gramps,70,gramps,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
311,grandpa,71,grandpa,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
311,grampa,71,grampa,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
312,dust bunnies,72,dust bunnies,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
312,dust balls,72,dust balls,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
313,tennis shoes,73,tennis shoes,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
313,sneakers,73,sneakers,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
313,gymshoes,73,gymshoes,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
313,shoes,73,shoes,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
313,running shoes,73,running shoes,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
314,roly poly,74,roly poly,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
314,pill bug,74,pill bug,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
314,potato bug,74,potato bug,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
314,I have no idea what this creature is,74,I have no idea what this creature is,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
314,"I know what this creature is, but have no word for it",74,"I know what this creature is, but have no word for it",high,"verbatim HDS re-run, single-select; strong lexical isogloss."
314,doodle bug,74,doodle bug,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
314,sow bug,74,sow bug,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
315,shopping cart,75,shopping cart,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
315,grocery cart,75,grocery cart,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
315,buggy,75,buggy,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
316,kitty-corner,76,kitty-corner,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
316,catty-corner,76,catty-corner,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
316,"I can only use ""diagonal"" for this",76,"I can only use ""diagonal"" for this",high,"verbatim HDS re-run, single-select; strong lexical isogloss."
316,catercorner,76,catercorner,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
317,doing donuts,77,doing donuts,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
317,doing cookies,77,doing cookies,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
317,whipping shitties,77,whipping shitties,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
318,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",78,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
318,scratch paper,78,scratch paper,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
318,scrap paper,78,scrap paper,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
319,highway,79,highway,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
319,"a freeway has limited access (no stop lights, no intersections), whereas a highway can have stop lights and intersections",79,"a freeway has limited access (no stop lights, no intersections), whereas a highway can have stop lights and intersections",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
319,freeway,79,freeway,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
319,a freeway is bigger than a highway,79,a freeway is bigger than a highway,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
319,expressway,79,expressway,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
320,sunshower,80,sunshower,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
320,the devil is beating his wife,80,the devil is beating his wife,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
320,liquid sun,80,liquid sun,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
321,goose bumps,81,goose bumps,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
321,goose pimples,81,goose pimples,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
321,chill bumps,81,chill bumps,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
322,sleep,82,sleep,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
322,eye booger,82,eye booger,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
322,sand,82,sand,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
322,gunk,82,gunk,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
322,sleepies,82,sleepies,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
323,blow-off,83,blow-off,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
323,gut,83,gut,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
323,crip course,83,crip course,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
323,bird,83,bird,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
324,traffic circle,84,traffic circle,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
324,roundabout,84,roundabout,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
324,rotary,84,rotary,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
324,circle,84,circle,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
325,rubber band,85,rubber band,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
325,hair tie,85,hair tie,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
325,hair thing,85,hair thing,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
325,(hair) elastic,85,(hair) elastic,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
326,"no, but I know what it means",86,"no, but I know what it means",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
326,I have no idea what this means,86,I have no idea what this means,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
326,yes,86,yes,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
327,yes,87,yes,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
327,"no, but I know what it means",87,"no, but I know what it means",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
327,I have no idea what this means,87,I have no idea what this means,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
328,duck-footed,88,duck-footed,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
328,bow-legged,88,bow-legged,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
328,splay-footed,88,splay-footed,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
328,slue-footed,88,slue-footed,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
328,toed out,88,toed out,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
329,yes,89,yes,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
329,no,89,no,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
329,"yes, but I can also use it in other forms such as apple slaw or broccoli slaw",89,"yes, but I can also use it in other forms such as apple slaw or broccoli slaw",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
329,I have never heard that usage before,89,I have never heard that usage before,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
330,coffin,90,coffin,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
330,casket,90,casket,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
330,"a coffin and a casket are not the same, and I know the difference",90,"a coffin and a casket are not the same, and I know the difference",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
331,oil and vinegar,91,oil and vinegar,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
331,vinegar and oil,91,vinegar and oil,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
331,both sound equally good to me,91,both sound equally good to me,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
331,neither,91,neither,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
332,Chinese fire drill,92,Chinese fire drill,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
332,Chinese lane change,92,Chinese lane change,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
333,in line,93,in line,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
333,on line,93,on line,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
333,both sound equally good,93,both sound equally good,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
334,frosting,94,frosting,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
334,both,94,both,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
334,icing,94,icing,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
334,"icing is thinner than frosting, white, and/or made of powdered sugar and milk or lemon juice",94,"icing is thinner than frosting, white, and/or made of powdered sugar and milk or lemon juice",high,"verbatim HDS re-run, single-select; strong lexical isogloss."
335,New York City,95,New York City,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
335,Chicago,95,Chicago,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
335,Boston,95,Boston,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
335,DC,95,DC,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
335,LA,95,LA,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
336,there is no distinction; they both have the same meaning,96,there is no distinction; they both have the same meaning,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
336,I do not use the term supper,96,I do not use the term supper,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
336,dinner takes place in a more formal setting than supper,96,dinner takes place in a more formal setting than supper,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
336,"supper is an evening meal while dinner is eaten earlier (lunch, for example)",96,"supper is an evening meal while dinner is eaten earlier (lunch, for example)",high,"verbatim HDS re-run, single-select; strong lexical isogloss."
336,"supper is an evening meal, dinner is the main meal",96,"supper is an evening meal, dinner is the main meal",high,"verbatim HDS re-run, single-select; strong lexical isogloss."
337,trash can,97,trash can,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
337,These words refer to different things,97,These words refer to different things,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
337,garbage can,97,garbage can,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
337,waste(paper) basket,97,waste(paper) basket,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
338,By accident,98,By accident,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
338,both,98,both,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
338,On accident,98,On accident,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
338,neither,98,neither,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
339,frontage road,99,frontage road,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
339,service road,99,service road,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
339,access road,99,access road,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
339,we have them but I have no word for them,99,we have them but I have no word for them,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
339,I've never heard of this concept,99,I've never heard of this concept,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
339,feeder road,99,feeder road,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
340,mow the lawn,100,mow the lawn,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
340,cut the grass,100,cut the grass,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
340,mow the grass,100,mow the grass,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
341,hand in,101,hand in,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
341,both,101,both,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
341,pass in,101,pass in,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
342,waterbug,102,waterbug,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
342,waterstrider,102,waterstrider,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
342,water-spider,102,water-spider,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
342,skimmer,102,skimmer,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
342,water beetle,102,water beetle,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
343,water fountain,103,water fountain,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
343,drinking fountain,103,drinking fountain,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
343,bubbler,103,bubbler,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
344,the subway,104,the subway,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
344,the metro,104,the metro,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
344,"the L, or the El",104,"the L, or the El",high,"verbatim HDS re-run, single-select; strong lexical isogloss."
344,the T,104,the T,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
344,BART,104,BART,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
345,soda,105,soda,high,"verbatim HDS q105 (carbonated beverage), single-select; soda/pop/coke land on the recoverable RGB primaries."
345,pop,105,pop,high,"verbatim HDS q105 (carbonated beverage), single-select; soda/pop/coke land on the recoverable RGB primaries."
345,coke,105,coke,high,"verbatim HDS q105 (carbonated beverage), single-select; soda/pop/coke land on the recoverable RGB primaries."
345,soft drink,105,soft drink,high,"verbatim HDS q105 (carbonated beverage), single-select; soda/pop/coke land on the recoverable RGB primaries."
346,tp'ing,106,tp'ing,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
346,toilet papering,106,toilet papering,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
346,rolling,106,rolling,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
346,wrapping,106,wrapping,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
346,papering,106,papering,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
347,"rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself",107,"rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
347,rubbernecking,107,rubbernecking,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
347,gapers' block,107,gapers' block,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
347,rubberneck,107,rubberneck,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
347,Lookie Lou,107,Lookie Lou,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
348,"[æ] as in ""sat""",108,"[æ] as in ""sat""",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
348,"[e:] as in ""say""",108,"[e:] as in ""say""",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
349,bag,109,bag,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
349,sack,109,sack,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
350,mischief night,110,mischief night,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
350,devil's night,110,devil's night,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
350,cabbage night,110,cabbage night,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
350,devil's eve,110,devil's eve,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
351,heel,111,heel,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
351,end,111,end,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
351,crust,111,crust,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
351,butt,111,butt,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
352,barbituate,112,barbituate,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
352,barbiturate,112,barbiturate,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
352,I don't use either of these,112,I don't use either of these,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
353,p,113,p,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
353,f,113,f,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
354,[z],114,[z],medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
354,[s],114,[s],medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
355,a moot point,115,a moot point,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
355,a mute point,115,a mute point,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
355,either one of the above,115,either one of the above,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
356,"[sp] (as in ""desperate"")",116,"[sp] (as in ""desperate"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
356,"[zb] (rhymes with ""lesbian"")",116,"[zb] (rhymes with ""lesbian"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
357,basement,117,basement,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
357,"A basement is finished (for example with plastered or painted walls, carpets, etc.), whereas a cellar is unfinished (made up of bare stone or cement, used only for storage).",117,"A basement is finished (for example with plastered or painted walls, carpets, etc.), whereas a cellar is unfinished (made up of bare stone or cement, used only for storage).",high,"verbatim HDS re-run, single-select; strong lexical isogloss."
357,"I use both, and they mean the same thing",117,"I use both, and they mean the same thing",high,"verbatim HDS re-run, single-select; strong lexical isogloss."
357,"A cellar has an outside entrance (some call this a ""bulkhead""), whereas a basement does not",117,"A cellar has an outside entrance (some call this a ""bulkhead""), whereas a basement does not",high,"verbatim HDS re-run, single-select; strong lexical isogloss."
357,cellar,117,cellar,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
358,I have never heard of such a thing,118,I have never heard of such a thing,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
358,"we have these in my area, but we have no special term for them",118,"we have these in my area, but we have no special term for them",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
358,brew thru,118,brew thru,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
358,beer barn,118,beer barn,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
359,take-out,119,take-out,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
359,either take-out or carry-out,119,either take-out or carry-out,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
359,carry-out,119,carry-out,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
360,shotgun,120,shotgun,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
360,dibs,120,dibs,high,"verbatim HDS re-run, single-select; strong lexical isogloss."
361,ogle,121,ogle,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
361,"oggle (pronounced to rhyme with ""boggle"", but may still be spelled ""ogle"")",121,"oggle (pronounced to rhyme with ""boggle"", but may still be spelled ""ogle"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
361,oogle,121,oogle,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
361,I have no word for this activity,121,I have no word for this activity,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
361,I use both oogle and ogle interchangeably,121,I use both oogle and ogle interchangeably,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
361,"I use both ogle and ""oggle""",121,"I use both ogle and ""oggle""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
